Week commencing,Alice Springs Total,Darwin Total ,Aboriginal Total,Non-Aboriginal Total,Alice Springs Aboriginal Total,Alice Springs Non-Aboriginal Total,Darwin Aboriginal Total ,Darwin Non-Aboriginal Total ,Males Total ,Females Total ,Alice Springs Females Total,Alice Springs Males Total ,Darwin Females Total,Darwin Males Total,Remand Total,Sentenced Total,Alice Springs Remand Total,Alice Springs Sentenced Total,Darwin Remand Total,Darwin Sentenced Total
26/06/2017,9,33.5,40.5,2,9,0,31.5,2,37.5,5,0,9,5,28.5,27.5,15,9,0,18.5,15
3/07/2017,7,32.6,37.9,1.7,7,0,30.9,1.7,36.3,3.3,0,7,3.3,29.3,25.3,14.3,6.9,0.1,18.4,14.1
10/07/2017,12.7,35.6,46.3,2,12.7,0,33.6,2,45,3.3,0,12.7,3.3,32.3,34.6,13.7,10.9,1.9,23.7,11.9
17/07/2017,12.3,35.6,45.9,2,12.3,0,33.6,2,42.4,5.4,0,12.3,5.4,30.1,36.1,11.7,12.1,0.1,24,11.6
24/07/2017,13.1,32.4,43.6,2,13.1,0,30.4,2,41.6,4,0,13.1,4,28.4,33,12.6,12.7,0.4,20.3,12.1
31/07/2017,9.7,33.7,41.4,2,9.7,0,31.7,2,40.4,3,0,9.7,3,30.7,31.3,12.1,8.9,0.9,22.4,11.3
7/08/2017,8.4,33.4,39.9,2,8.4,0,31.4,2,39.7,2.1,0,8.4,2.1,31.3,29.4,12.4,6.6,1.9,22.9,10.6
14/08/2017,10.6,31.9,41.3,1.1,10.6,0,30.7,1.1,40.7,1.7,0,10.6,1.7,30.1,26,16.4,6.7,3.9,19.3,12.6
21/08/2017,8.3,35.6,42.9,1,8.3,0,34.6,1,42,1.9,0,8.3,1.9,33.7,28.9,15,7.4,0.9,21.4,14.1
28/08/2017,5.6,38.1,42.3,1.4,5.6,0,36.7,1.4,41.3,2.4,0,5.6,2.4,35.7,28.3,15.4,5.1,0.4,23.1,15
